"ARI_Rating","BIS_Rating","CDR_Rating","DKC_Rating","FRS_Rating","GNB_Rating","IOW_Rating","OAK_Rating","QDC_Rating","SDG_Rating","SPK_Rating","SXF_Rating","TSC_Rating","ARI_Wins","BIS_Wins","CDR_Wins","DKC_Wins","FRS_Wins","GNB_Wins","IOW_Wins","OAK_Wins","QDC_Wins","SDG_Wins","SPK_Wins","SXF_Wins","TSC_Wins","SEED1","SEED2","SEED3","SEED4","SEED5","SEED6","SEED7","SEED8","SEMI_LOSER_1","SEMI_LOSER_2","IFL_RU","IFL_CHAMP","WeeklyWinner1","WeeklyWinner2","WeeklyWinner3","WeeklyWinner4","WeeklyWinner5","WeeklyWinner6"
1739.58616075507,1384.05173132081,1279.6229826056,1420.15124886608,1441.70486579939,1541.16987424742,1635.72411408289,1378.61784397883,1606.19728723841,1410.1386530962,1383.82741547174,1712.17524102933,1567.03258050823,12,5,0,5,7,9,9,3,11,7,3,10,10,"ARI","QDC","SXF","TSC","GNB","IOW","FRS","SDG","TSC","QDC","ARI","SXF","DKC","IOW","SDG","SXF",NA,NA
1642.57335025891,1387.57091494114,1420.16533092878,1526.04945868077,1357.4517715108,1487.46341177749,1675.02970980194,1475.35988432381,1505.74033110165,1456.69981550966,1400.7664283365,1693.63540606155,1471.49418576697,7,5,8,10,2,5,11,8,6,10,4,10,5,"IOW","DKC","SXF","SDG","OAK","CDR","ARI","QDC","OAK","DKC","IOW","SXF","DKC","OAK","CDR","SXF",NA,NA
1715.61739905271,1387.00691109495,1295.17265704929,1419.82306543488,1478.41554270143,1529.23598665303,1642.84757661397,1396.80795923736,1549.04756556998,1462.29068025686,1425.74994942,1676.44212991499,1521.54257600056,10,5,1,5,9,7,10,4,8,9,5,11,7,"SXF","IOW","ARI","FRS","SDG","QDC","TSC","GNB","GNB","TSC","SDG","ARI","FRS","OAK","SDG","SXF",NA,NA
1701.6356065386,1370.46506167464,1354.5767590521,1367.19317633862,1440.19229958322,1429.65048818815,1733.37168063419,1498.67571645558,1591.42179917326,1372.10833657746,1407.80668775254,1697.92151695458,1534.98087007706,10,4,4,2,7,2,13,10,10,5,4,11,9,"IOW","SXF","ARI","QDC","OAK","TSC","FRS","SDG","QDC","ARI","SXF","IOW","FRS","IOW","SDG","SXF",NA,NA
1681.65783105295,1390.41808063644,1372.78704952978,1440.29543662117,1431.60484752073,1517.90257401466,1624.49441278779,1455.84599714847,1536.9102974808,1476.60170963934,1367.59777026746,1682.40216420523,1521.48182809518,10,5,5,6,6,7,9,7,8,8,2,11,7,"SXF","ARI","IOW","QDC","SDG","OAK","TSC","GNB","TSC","OAK","SXF","SDG","DKC","IOW","CDR","SXF",NA,NA
1667.60733271396,1348.3528472067,1337.47509883462,1499.72968257733,1420.95462425757,1536.26290516355,1657.37642236312,1398.2002068928,1526.53883106119,1470.93243250623,1449.42675035673,1667.64843380328,1519.49443126293,9,3,3,8,6,9,10,4,7,10,6,8,8,"IOW","SDG","ARI","GNB","DKC","SXF","TSC","QDC","IOW","SDG","DKC","SXF","FRS","IOW","SDG","SXF",NA,NA
1711.89649931731,1336.24515039986,1358.9736379786,1367.03172504191,1426.34466912728,1561.8957495141,1658.1067618748,1432.67902096286,1571.88283770657,1474.94729694984,1383.2331053095,1660.32876998264,1556.43477483472,11,2,4,2,6,9,10,6,10,11,3,10,7,"ARI","SDG","QDC","IOW","SXF","GNB","TSC","OAK","ARI","GNB","IOW","TSC","FRS","IOW","SDG","SXF",NA,NA
1689.08376209025,1351.17961274915,1392.97386481806,1425.32053654356,1505.78748636083,1462.8769122911,1711.27301168848,1474.22204284152,1510.51840796078,1449.78287267376,1363.37915611549,1652.53029218663,1511.07204068039,10,3,6,5,9,4,12,7,6,10,2,10,7,"IOW","ARI","SXF","SDG","FRS","OAK","TSC","QDC","OAK","ARI","FRS","IOW","FRS","IOW","SDG","SXF",NA,NA
1749.66402123233,1369.87850944581,1337.89962879373,1415.86843342238,1428.36484049398,1573.54936614013,1651.00124913943,1381.64696088536,1534.53005031975,1384.22688860089,1440.02757488851,1729.20268701572,1504.13978862198,13,4,3,5,6,10,9,3,7,6,6,12,7,"ARI","SXF","GNB","IOW","QDC","TSC","SPK","FRS","ARI","GNB","IOW","SXF","DKC","IOW","SDG","SXF",NA,NA
1697.52228142301,1369.94162253672,1317.55711615048,1457.5822385731,1442.73803528525,1600.42494869468,1634.97713241182,1412.6015581289,1542.06494544439,1407.38535183399,1452.94233734254,1645.34114630878,1518.92128486633,10,4,2,7,7,10,9,5,8,7,7,8,7,"ARI","GNB","IOW","QDC","SXF","SPK","SDG","FRS","ARI","IOW","SXF","GNB","FRS","IOW","SDG","SXF",NA,NA
